,Folder,DateTime,SN,Detect OK! Use time,at@gpsengine,Enable GPS Module OK! Use time,TTFF,SNR1,SNR2,SNR3,SNR4,SNR5,SNR6,SNR7,SNR8,GPS Signal Test PASS! Use time,Defective
38,LI5-1834230M,2018-03-08 19:36:38,GN45-AVA-WGV,5981.576999999999,1,3.58,44.0,33.0,28.0,28.0,33.0,35.0,29.0,35.0,36.0,65.72,0.0
39,LI5-1834230M,2018-03-08 19:33:13,GN4Z-GXA-EWX,5559.170999999999,1,0.61,120.0,34.0,34.0,34.0,34.0,38.0,37.0,30.0,38.0,120.49700000000001,0.0
40,LI5-1834230M,2018-03-08 19:29:52,GNA2-V8W-JWM,5524.005,1,0.61,115.0,31.0,32.0,26.0,33.0,36.0,30.0,35.0,35.0,120.47,0.0
41,LI5-1834230M,2018-03-08 19:19:18,GNTM-TNU-YNV,4721.399,1,3.57,95.0,34.0,34.0,34.0,34.0,38.0,37.0,30.0,38.0,120.15799999999999,0.0
42,LI5-1834230M,2018-03-08 19:20:14,GNUZ-PES-8TN,4962.984,1,3.57,42.0,35.0,28.0,28.0,29.0,36.0,30.0,35.0,35.0,98.55,0.0
43,LI5-1834230M,2018-03-08 19:21:56,GNWE-TN4-X7T,5117.392,1,0.61,49.0,31.0,32.0,26.0,33.0,36.0,30.0,35.0,35.0,50.85,0.0
44,LI5-1834230M,2018-03-08 19:22:16,GNWG-KNM-9AW,4914.226,1,0.61,119.0,34.0,34.0,34.0,34.0,38.0,37.0,30.0,38.0,120.179,0.0
45,LI5-1834230M,2018-03-08 20:18:53,GNZZ-Z6G-9A3,8492.146,1,3.58,90.0,29.0,33.0,34.0,33.0,37.0,27.0,37.0,27.0,91.98100000000001,0.0
46,LI5-1834230M,2018-03-08 19:24:34,GP6Y-46M-EDC,5092.268,1,3.5,25.0,34.0,34.0,34.0,34.0,38.0,37.0,30.0,38.0,81.38600000000001,0.0
47,LI5-1834230M,2018-03-08 19:26:54,GP76-Z7K-E3C,5345.444,1,0.61,120.0,31.0,32.0,26.0,33.0,36.0,30.0,35.0,35.0,120.82,0.0
48,LI5-1834230M,2018-03-08 19:32:47,GPA3-PSJ-GK8,5702.0740000000005,1,0.61,120.0,31.0,32.0,26.0,33.0,36.0,30.0,35.0,35.0,120.6,0.0
49,LI5-1834230M,2018-03-08 19:16:03,GPM7-8CJ-SFE,4544.916,1,0.61,120.0,34.0,34.0,34.0,34.0,38.0,37.0,30.0,38.0,120.48,0.0
50,LI5-1834230M,2018-03-08 19:13:07,GPXY-ZAY-Y69,4443.992,1,0.63,42.0,34.0,34.0,34.0,34.0,38.0,37.0,30.0,38.0,44.01,0.0
51,LI5-1834230M,2018-03-08 19:14:22,GPZ4-39K-KAA,4590.598,1,3.57,88.0,28.0,28.0,26.0,30.0,39.0,39.0,29.0,39.0,120.36,0.0
52,LI5-1834230M,2018-03-08 19:11:21,GPZ8-NN9-S69,4261.41,1,0.61,120.0,34.0,34.0,34.0,34.0,33.0,35.0,36.0,28.0,120.65700000000001,0.0
53,LI5-1834230M,2018-03-08 19:11:19,GR6B-X6X-WTE,4410.888,1,0.61,92.0,28.0,28.0,26.0,30.0,39.0,39.0,29.0,39.0,120.0,0.0
54,LI5-1834230M,2018-03-08 19:23:59,GR9P-CZ7-XSD,5223.525,1,0.61,56.0,31.0,32.0,26.0,33.0,36.0,30.0,35.0,35.0,67.18,0.0
55,LI5-1834230M,2018-03-08 19:17:32,GRBS-B6Z-H7C,4778.383,1,3.58,102.0,35.0,28.0,28.0,29.0,36.0,30.0,35.0,35.0,120.95,0.0
56,LI5-1834230M,2018-03-08 19:08:05,GREJ-GCP-J3A,4111.823,1,3.58,68.0,34.0,34.0,34.0,34.0,31.0,38.0,39.0,30.0,69.64,0.0
57,LI5-1834230M,2018-03-08 19:06:39,GREU-833-A87,4130.323,1,0.61,120.0,28.0,28.0,26.0,30.0,37.0,37.0,37.0,31.0,120.611,0.0
58,LI5-1834230M,2018-03-08 19:05:53,GRFJ-RG9-KY6,3935.567,1,0.61,119.0,34.0,34.0,34.0,34.0,31.0,38.0,39.0,30.0,120.32600000000001,0.0
59,LI5-1834230M,2018-03-08 18:52:59,GRJH-8ER-6FG,3400.341,1,0.61,28.0,32.0,28.0,30.0,27.0,28.0,39.0,30.0,39.0,30.85,0.0
60,LI5-1834230M,2018-03-08 18:55:17,GRNU-CP7-NV6,3289.495,1,3.57,110.0,34.0,34.0,34.0,34.0,31.0,38.0,39.0,30.0,120.28200000000001,0.0
61,LI5-1834230M,2018-03-08 18:54:29,GRU6-26E-GE9,3490.3740000000003,1,0.61,28.0,32.0,28.0,30.0,27.0,28.0,39.0,30.0,39.0,28.97,0.0
62,LI5-1834230M,2018-03-08 18:56:20,GS7T-E44-7VA,3583.5820000000003,1,3.57,42.0,32.0,28.0,30.0,27.0,37.0,37.0,37.0,31.0,47.29,0.0
63,LI5-1834230M,2018-03-08 18:59:28,GSRT-EZC-JBX,3695.135,1,3.58,120.0,32.0,28.0,30.0,27.0,37.0,37.0,37.0,31.0,120.51,0.0
64,LI5-1834230M,2018-03-08 18:59:37,GT4A-95B-THK,3557.2009999999996,1,0.65,120.0,34.0,34.0,34.0,34.0,31.0,38.0,39.0,30.0,120.72200000000001,0.0
65,LI5-1834230M,2018-03-08 17:16:17,GT63-BHX-UXX,90.281,1,3.56,17.0,42.0,42.0,42.0,42.0,40.0,40.0,39.0,40.0,18.54,0.0
66,LI5-1834230M,2018-03-08 18:09:50,GT9D-SYY-H79,807.238,1,3.56,30.0,29.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,32.09,0.0
67,LI5-1834230M,2018-03-08 18:42:29,GTCV-E7R-KCV,2676.973,1,3.58,119.0,31.0,30.0,38.0,38.0,28.0,39.0,30.0,39.0,121.07,0.0
68,LI5-1834230M,2018-03-08 18:44:15,GTEE-Y5G-7TX,2869.585,1,3.58,36.0,34.0,29.0,39.0,38.0,28.0,39.0,30.0,39.0,38.2,0.0
69,LI5-1834230M,2018-03-08 18:43:49,GTT5-JXW-VBJ,2673.309,1,0.61,45.0,34.0,34.0,34.0,34.0,29.0,28.0,31.0,30.0,48.707,0.0
70,LI5-1834230M,2018-03-08 18:45:46,GTYW-86X-V5X,2788.427,1,3.58,41.0,34.0,34.0,34.0,34.0,31.0,38.0,39.0,30.0,57.111000000000004,0.0
71,LI5-1834230M,2018-03-08 18:47:46,GTZP-5TG-Z3T,3069.756,1,0.61,47.0,28.0,38.0,31.0,38.0,28.0,39.0,30.0,39.0,48.45,0.0
72,LI5-1834230M,2018-03-08 19:03:21,GU79-JGD-UJZ,3991.1059999999998,1,3.58,33.0,28.0,28.0,26.0,30.0,37.0,37.0,37.0,31.0,57.11,0.0
73,LI5-1834230M,2018-03-08 18:51:04,GU7N-5ZN-ZW3,3193.2490000000003,1,3.56,120.0,28.0,38.0,31.0,38.0,28.0,39.0,30.0,39.0,120.3,0.0
74,LI5-1834230M,2018-03-08 19:08:17,GU8U-6CA-S6P,4308.997,1,3.58,35.0,28.0,28.0,26.0,30.0,39.0,39.0,29.0,39.0,40.74,0.0
75,LI5-1834230M,2018-03-08 18:50:34,GUC2-UKF-TEA,3080.6679999999997,1,3.57,47.0,34.0,34.0,34.0,34.0,31.0,38.0,39.0,30.0,50.474,0.0
76,LI5-1834230M,2018-03-08 18:26:55,GUCC-MSN-C8J,1748.109,1,0.61,120.0,38.0,38.0,37.0,38.0,39.0,38.0,39.0,28.0,120.85,0.0
77,LI5-1834230M,2018-03-08 18:28:29,GUHA-25D-VH9,1927.184,1,0.61,33.0,31.0,30.0,38.0,38.0,39.0,38.0,39.0,28.0,35.69,0.0
78,LI5-1834230M,2018-03-08 18:46:00,GUN7-YJT-ERC,2985.572,1,3.58,24.0,28.0,38.0,31.0,38.0,28.0,39.0,30.0,39.0,25.49,0.0
79,LI5-1834230M,2018-03-08 18:34:40,GUS8-24U-N2W,2209.901,1,0.61,116.0,31.0,30.0,38.0,38.0,39.0,38.0,39.0,28.0,120.68,0.0
80,LI5-1834230M,2018-03-08 18:37:45,GV58-GFA-5X5,2392.199,1,3.58,66.0,31.0,30.0,38.0,38.0,39.0,38.0,39.0,28.0,120.34,0.0
81,LI5-1834230M,2018-03-08 18:38:24,GV9Z-F56-GUD,2312.0170000000003,1,0.61,37.0,40.0,40.0,39.0,40.0,29.0,28.0,31.0,30.0,95.88,0.0
82,LI5-1834230M,2018-03-08 18:39:30,GVDB-ZFJ-86X,2583.721,1,3.58,33.0,31.0,30.0,38.0,38.0,39.0,38.0,39.0,28.0,35.38,0.0
83,LI5-1834230M,2018-03-08 18:05:37,GVFH-AC3-RSR,587.736,1,0.61,0.0,40.0,39.0,38.0,38.0,39.0,39.0,38.0,,0.46,0.0
84,LI5-1834230M,2018-03-08 17:19:20,GVKK-EUD-KXA,118.212,1,0.61,0.0,36.0,36.0,36.0,36.0,41.0,41.0,30.0,30.0,1.35,0.0
85,LI5-1834230M,2018-03-08 18:08:15,GVR4-6BU-9EA,655.57,1,3.55,29.0,29.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,88.65100000000001,0.0
86,LI5-1834230M,2018-03-08 18:14:59,GVS2-TPB-FYA,1122.913,1,3.58,26.0,34.0,38.0,38.0,34.0,38.0,38.0,32.0,27.0,28.75,0.0
87,LI5-1834230M,2018-03-08 18:16:30,GVS7-HGM-KNE,1206.573,1,3.58,31.0,34.0,38.0,38.0,34.0,29.0,31.0,39.0,34.0,34.23,0.0
88,LI5-1834230M,2018-03-08 18:18:00,GVUW-G4D-XM2,1301.8239999999998,1,0.61,30.0,34.0,38.0,38.0,34.0,27.0,38.0,39.0,39.0,33.9,0.0
89,LI5-1834230M,2018-03-08 18:19:30,GVY9-N68-ZM9,1386.111,1,3.5810000000000004,31.0,38.0,38.0,37.0,38.0,27.0,38.0,39.0,39.0,33.12,0.0
90,LI5-1834230M,2018-03-08 18:24:00,GVYM-RHT-SGA,1651.733,1,0.61,39.0,38.0,38.0,37.0,38.0,39.0,38.0,39.0,28.0,42.22,0.0
91,LI5-1834230M,2018-03-08 18:22:25,GWAF-3C4-P9Z,1476.67,1,0.61,120.0,38.0,38.0,37.0,38.0,27.0,38.0,39.0,39.0,120.79,0.0
92,LI5-1834230M,2018-03-08 17:01:37,GWH7-RZS-5SS,23.781999999999996,1,0.61,0.0,41.0,41.0,41.0,41.0,,,,,0.16,0.0
93,LI5-1834230M,2018-03-08 18:12:15,GWJR-7JS-G4N,898.0889999999999,1,3.55,30.0,34.0,38.0,38.0,34.0,35.0,38.0,38.0,38.0,88.17,0.0
94,LI5-1834230M,2018-03-08 17:14:29,GWKD-NZE-B59,15.74,1,0.61,0.0,42.0,42.0,42.0,42.0,,,,,0.15,0.0
95,LI5-1834230M,2018-03-08 17:20:47,GWKN-3XS-UGB,169.197,1,0.61,33.0,36.0,36.0,36.0,36.0,39.0,29.0,39.0,29.0,33.27,0.0
96,LI5-1834230M,2018-03-08 17:22:16,GWYS-N3U-ZNA,259.882,1,0.61,31.0,36.0,36.0,36.0,36.0,40.0,41.0,40.0,41.0,31.97,0.0
97,LI5-1834230M,2018-03-08 17:18:17,GWZU-SZW-B4F,15.852,1,3.58,34.0,,,,,41.0,41.0,30.0,30.0,35.95,0.0
98,LI5-1834230M,2018-03-08 18:04:03,GX7X-3WM-4EC,371.119,1,3.56,120.0,40.0,39.0,39.0,39.0,,,,,121.3,0.0
99,LI5-1834230M,2018-03-08 18:00:57,GXKY-2AY-4BY,323.66,1,0.61,0.0,40.0,39.0,39.0,39.0,,,,,0.84,0.0
100,LI5-1834230M,2018-03-09 09:56:16,G26H-YC5-VTF,612.137,1,3.58,33.0,41.0,41.0,41.0,41.0,40.0,40.0,40.0,41.0,58.95,0.0
101,LI5-1834230M,2018-03-09 09:54:37,G28J-HFK-FNF,2796.9559999999997,1,3.58,33.0,41.0,41.0,29.0,41.0,41.0,30.0,41.0,29.0,92.141,0.0
102,LI5-1834230M,2018-03-09 10:39:40,G28U-WW2-5CV,748.995,1,0.61,35.0,,,,,40.0,41.0,41.0,40.0,38.19,0.0
103,LI5-1834230M,2018-03-09 10:42:04,G2AP-YVG-97A,840.466,1,3.57,30.0,,,,,39.0,38.0,38.0,39.0,86.4,0.0
104,LI5-1834230M,2018-03-09 10:39:59,G2AY-TSE-YKY,1275.162,1,3.58,34.0,38.0,38.0,29.0,38.0,36.0,37.0,36.0,28.0,96.23,0.0
105,LI5-1834230M,2018-03-09 10:38:06,G2S5-WFP-YTT,593.711,1,3.58,36.0,,,,,39.0,39.0,39.0,39.0,95.021,0.0
106,LI5-1834230M,2018-03-09 10:37:27,G2ZY-YKF-Z6W,1121.027,1,0.61,39.0,37.0,37.0,28.0,36.0,36.0,37.0,36.0,28.0,97.61,0.0
107,LI5-1834230M,2018-03-09 10:35:33,G3AC-9ZK-5KY,464.855,1,3.58,41.0,,,,,41.0,41.0,41.0,41.0,70.89,0.0
108,LI5-1834230M,2018-03-09 10:34:54,G3DY-54J-8FW,947.775,1,0.61,117.0,40.0,40.0,29.0,39.0,40.0,40.0,39.0,40.0,120.59,0.0
109,LI5-1834230M,2018-03-09 10:31:09,G3JC-6HF-E7K,234.967,1,3.58,33.0,,,,,41.0,41.0,41.0,41.0,36.8,0.0
110,LI5-1834230M,2018-03-09 10:33:26,G4FV-RKE-EC2,330.124,1,3.55,29.0,,,,,41.0,41.0,41.0,41.0,80.12,0.0
111,LI5-1834230M,2018-03-09 10:28:54,G4KC-KC5-VMP,627.173,1,3.58,57.0,40.0,40.0,29.0,39.0,40.0,40.0,39.0,40.0,82.221,0.0
112,LI5-1834230M,2018-03-09 10:25:34,G4PG-VHR-4W9,4695.845,1,3.58,37.0,40.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,44.53,0.0
113,LI5-1834230M,2018-03-09 10:31:58,G4T4-TEN-WFF,769.4169999999999,1,0.61,120.0,40.0,40.0,29.0,39.0,40.0,40.0,39.0,40.0,120.51,0.0
114,LI5-1834230M,2018-03-09 10:26:29,G57Z-PRF-ERU,521.139,1,3.58,36.0,40.0,40.0,29.0,39.0,40.0,40.0,39.0,40.0,38.89,0.0
115,LI5-1834230M,2018-03-09 10:51:53,G58R-PPC-BAP,1963.487,1,3.55,119.0,38.0,38.0,29.0,38.0,36.0,37.0,36.0,28.0,120.39,0.0
116,LI5-1834230M,2018-03-09 10:24:44,G5BW-J8V-VK4,363.152,1,3.58,46.0,,,,,40.0,40.0,39.0,40.0,91.32,0.0
117,LI5-1834230M,2018-03-09 10:23:32,G5D7-6PE-9DR,4556.19,1,0.61,38.0,40.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,69.49,0.0
118,LI5-1834230M,2018-03-09 10:21:10,G5FC-3H7-9UB,4444.182,1,3.58,30.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,32.22,0.0
119,LI5-1834230M,2018-03-09 10:21:46,G5G8-ZBV-MUS,158.418,1,0.61,103.0,,,,,40.0,40.0,39.0,40.0,120.53,0.0
120,LI5-1834230M,2018-03-09 10:19:40,G5SY-5GV-RZ4,4350.17,1,3.58,35.0,41.0,42.0,42.0,41.0,41.0,41.0,41.0,41.0,37.65,0.0
121,LI5-1834230M,2018-03-09 10:17:56,G5X7-T3R-2PX,4247.39,1,3.58,35.0,41.0,42.0,42.0,41.0,41.0,41.0,41.0,41.0,37.77,0.0
122,LI5-1834230M,2018-03-09 10:18:29,G63U-JDX-KAM,6.968,1,0.61,29.0,,,,,40.0,40.0,39.0,40.0,89.53,0.0
123,LI5-1834230M,2018-03-09 10:16:01,G64T-4MD-URU,4132.043,1,3.58,34.0,40.0,40.0,29.0,39.0,40.0,40.0,40.0,40.0,36.74,0.0
124,LI5-1834230M,2018-03-09 10:15:58,G6A2-VRW-G9Y,1774.94,1,0.61,24.0,40.0,40.0,40.0,40.0,39.0,40.0,27.0,28.0,83.09,0.0
125,LI5-1834230M,2018-03-09 10:14:27,G6H2-XMT-7AC,4044.3540000000003,1,3.58,35.0,42.0,42.0,42.0,42.0,41.0,42.0,41.0,41.0,37.62,0.0
126,LI5-1834230M,2018-03-09 10:02:11,G6PP-SWY-6N7,3311.345,1,3.58,27.0,42.0,42.0,42.0,42.0,42.0,42.0,29.0,42.0,30.66,0.0
127,LI5-1834230M,2018-03-09 10:02:22,G6RP-59B-4WC,994.0369999999999,1,3.58,36.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,27.0,45.86,0.0
128,LI5-1834230M,2018-03-09 10:00:17,G6UV-E66-JZS,3184.882,1,0.61,36.0,41.0,41.0,29.0,41.0,40.0,41.0,41.0,29.0,44.35,0.0
129,LI5-1834230M,2018-03-09 10:00:30,G6X8-7BP-EYM,841.6210000000001,1,0.61,23.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,27.0,84.65,0.0
130,LI5-1834230M,2018-03-09 09:57:56,G7A6-GTY-9HM,735.427,1,3.58,35.0,41.0,41.0,41.0,41.0,40.0,40.0,39.0,27.0,37.75,0.0
131,LI5-1834230M,2018-03-09 09:47:24,G7CD-8ZU-UN9,103.33200000000001,1,0.61,36.0,41.0,41.0,41.0,41.0,40.0,40.0,40.0,41.0,38.59,0.0
132,LI5-1834230M,2018-03-09 09:48:25,G7GS-EVR-2WJ,2427.098,1,0.61,35.0,41.0,41.0,41.0,41.0,41.0,40.0,41.0,41.0,95.84,0.0
133,LI5-1834230M,2018-03-09 09:49:13,G7HK-AWZ-BE5,204.47799999999998,1,0.61,34.0,41.0,41.0,41.0,41.0,40.0,40.0,40.0,41.0,48.62,0.0
134,LI5-1834230M,2018-03-09 09:50:01,G7RU-U9K-EMF,2577.254,1,0.61,34.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,36.23,0.0
135,LI5-1834230M,2018-03-09 09:51:48,G7SJ-BXH-WG5,312.319,1,0.61,34.0,41.0,41.0,41.0,41.0,40.0,40.0,40.0,41.0,93.07,0.0
136,LI5-1834230M,2018-03-09 09:51:41,G7V7-BDV-T4B,2691.304,1,0.61,24.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,29.0,27.64,0.0
137,LI5-1834230M,2018-03-09 09:54:17,G7XC-CSN-VZR,471.727,1,3.58,32.0,41.0,41.0,41.0,41.0,40.0,40.0,40.0,41.0,80.33,0.0
138,LI5-1834230M,2018-03-09 09:57:01,G89K-SVF-BDN,2951.04,1,0.61,30.0,41.0,41.0,29.0,41.0,42.0,42.0,42.0,42.0,83.59,0.0
139,LI5-1834230M,2018-03-09 09:19:29,G8CA-SF7-DTS,1151.488,1,3.55,27.0,38.0,28.0,38.0,27.0,40.0,40.0,40.0,40.0,88.41,0.0
140,LI5-1834230M,2018-03-09 09:45:43,G8DY-ANP-2UY,2268.757,1,0.61,37.0,41.0,41.0,41.0,41.0,41.0,42.0,41.0,41.0,86.44,0.0
141,LI5-1834230M,2018-03-09 09:45:31,G8U3-XHD-R32,5.965,1,0.61,35.0,40.0,40.0,40.0,40.0,41.0,40.0,41.0,40.0,38.27,0.0
142,LI5-1834230M,2018-03-09 09:43:28,G8WS-XGT-SEB,2588.382,1,3.58,28.0,41.0,41.0,41.0,41.0,40.0,40.0,39.0,40.0,87.95,0.0
143,LI5-1834230M,2018-03-09 09:43:10,G8XT-FR7-A5R,2170.2929999999997,1,0.61,30.0,41.0,41.0,41.0,41.0,41.0,42.0,41.0,41.0,31.89,0.0
144,LI5-1834230M,2018-03-09 09:40:01,G97X-NG7-R8H,1973.854,1,0.61,34.0,40.0,40.0,40.0,40.0,41.0,41.0,41.0,41.0,36.44,0.0
145,LI5-1834230M,2018-03-09 09:40:58,G9CH-UWP-FYV,2432.3379999999997,1,3.58,34.0,41.0,41.0,41.0,41.0,41.0,42.0,42.0,41.0,94.81,0.0
146,LI5-1834230M,2018-03-09 09:38:20,G9CY-5PD-V9R,2277.502,1,3.58,33.0,41.0,41.0,41.0,41.0,41.0,42.0,42.0,41.0,92.67,0.0
147,LI5-1834230M,2018-03-09 09:38:08,G9DK-A3S-KAS,1865.219,1,0.61,34.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,40.74,0.0
148,LI5-1834230M,2018-03-09 09:41:41,G9HJ-2WB-Z82,2070.771,1,3.58,37.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,40.881,0.0
